Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,ETH-USD,EURUSD=X,GC=F,NVDA,^GSPC,ETH-USD,EURUSD=X,GC=F,NVDA,^GSPC,ETH-USD,EURUSD=X,GC=F,NVDA,^GSPC,ETH-USD,EURUSD=X,GC=F,NVDA,^GSPC,ETH-USD,EURUSD=X,GC=F,NVDA,^GSPC
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-15,153.28689575195312,1.098538875579834,1727.199951171875,6.985437870025635,2783.360107421875,160.71112060546875,1.0989010334014893,1744.9000244140625,7.0682662463296895,2801.8798828125,152.80284118652344,1.0857645273208618,1722.699951171875,6.849629373283734,2761.5400390625,157.56564331054688,1.0982372760772705,1739.4000244140625,6.894898714057057,2795.639892578125,14171753737,0.0,642.0,366148000.0,5208000000.0
2020-04-16,172.15737915039062,1.0905101299285889,1720.4000244140625,7.3301825523376465,2799.550048828125,173.1572723388672,1.0907741785049438,1750.5999755859375,7.437138127768252,2806.510009765625,150.3594207763672,1.0829660892486572,1715.0,7.127464912267185,2764.320068359375,153.20042419433594,1.0903817415237427,1731.0,7.140647674170319,2799.340087890625,22910469236,0.0,162.0,745620000.0,5228810000.0
2020-04-17,171.63858032226562,1.0858471393585205,1689.199951171875,7.2709832191467285,2874.56005859375,174.27590942382812,1.0893245935440063,1725.0,7.433654883302121,2879.219970703125,169.75157165527344,1.0812681913375854,1684.9000244140625,7.137164469093302,2830.8798828125,172.2794189453125,1.0860122442245483,1715.699951171875,7.412263676173463,2842.429931640625,16714684266,0.0,223.0,539120000.0,5804810000.0
2020-04-18,186.91400146484375,,,,,187.9404754638672,,,,,171.61807250976562,,,,,171.61807250976562,,,,,20160323443,,,,
2020-04-19,181.61495971679688,,,,,188.0989227294922,,,,,180.12081909179688,,,,,186.8619842529297,,,,,19146038381,,,,
2020-04-20,172.2971649169922,1.0866966247558594,1701.5999755859375,7.139902114868164,2823.159912109375,186.0835418701172,1.0897043943405151,1701.5999755859375,7.300335493886379,2868.97998046875,170.32127380371094,1.084304690361023,1680.0,7.095627633607135,2820.429931640625,181.480224609375,1.0866258144378662,1686.0,7.144628306507121,2845.6201171875,21266681335,0.0,106.0,449388000.0,5228630000.0
2020-04-21,172.73770141601562,1.0864840745925903,1678.199951171875,6.703622341156006,2736.56005859375,175.178466796875,1.0879971981048584,1707.0999755859375,7.083189755050889,2785.5400390625,170.55284118652344,1.0817945003509521,1659.9000244140625,6.643926307064967,2727.10009765625,172.01771545410156,1.0863542556762695,1697.0,7.022001664063456,2784.81005859375,16458767984,0.0,666.0,735160000.0,5121010000.0
2020-04-22,182.59957885742188,1.0856467485427856,1728.699951171875,7.117515563964844,2799.31005859375,183.75100708007812,1.0883169174194336,1728.699951171875,7.160297985277611,2815.10009765625,171.82659912109375,1.0824267864227295,1684.800048828125,6.850127091236819,2775.949951171875,172.67039489746094,1.0857409238815308,1696.0,6.8956450294305265,2787.889892578125,17994666395,0.0,453.0,483356000.0,5084920000.0
2020-04-23,185.02867126464844,1.080964207649231,1733.300048828125,7.0642876625061035,2797.800048828125,189.0888671875,1.0843987464904785,1745.0999755859375,7.291381624049405,2844.89990234375,180.3406524658203,1.0758357048034668,1733.300048828125,7.039165593157167,2794.260009765625,182.62017822265625,1.0806838274002075,1734.0,7.159553027857918,2810.419921875,21275740032,0.0,482.0,424160000.0,5773530000.0
